	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
18	BEAST2	4.798525003146682	0.2324577866044429	0.103845962648971		2.23848651093174	9.62964735933245	0.208397371972479	40.93900076749968	-0.8022039029209649	-0.7039756933840554		-0.3318248108063254	2.3781009790435137	-0.9761558458308586
19	BEAST2	0.0664572803533241	0.6980839640112992	0.1862125079628128		3.74885646323344	5.37020853722513	15.0472603555764	0.0502160452307386	-0.04910658303928943	0.11175895307562243		-0.14469461718287582	-0.1005244462088184	-0.047814966700214324
19	PyBDEI	0.0659646550962407	0.6953824174793852	0.1841314435139655		3.776554423344016	5.430902951261308	15.159633572570431	0.04243115023467037	-0.05278648824445826	0.09933421287828065		-0.1383752996501911	-0.09035852037953371	-0.04070403136467914
19	PhyloDeep	0.0589750035272943	0.7494914787803667	0.2162522305770589		3.4658208	4.62422975860895	16.9563364169565	-0.06802543464591386	0.0209180413559295	0.29110743470912154		-0.20926948919170626	-0.22547111641000372	0.07299065572681929
20	BEAST2	0.0550728427923943	0.443175033415256	0.200440408533031		2.21100643657002	4.98901397836259	18.1577697699328	0.10973168140756046	-0.07263103654196701	-0.060961163533029224		-0.01242746578282595	0.06491868191776665	-0.09888127305546551
20	PyBDEI	0.0556602200799645	0.4418445542140773	0.2006993215104098		2.201524902470384	4.982577880554181	17.966152461548734	0.12156748199285194	-0.0754151399428087	-0.05974818785211038		-0.016662506669260602	0.06354487923359889	-0.10839069779095852
20	PhyloDeep	0.055204940895831	0.4189679243979879	0.1835135149426864		2.2830358	5.44918994283507	18.1143206345778	0.11239349153038572	-0.12328578896486538	-0.14026159291455312		0.019745313004262154	0.16314450041850104	-0.10103753068148567
21	BEAST2	0.0413861614192944	0.4507139936076128	0.1148720915196869		3.92361615118994	8.70533466197591	24.1626661112329	0.40432637882935574	-0.20221003654253755	-0.01460028412092696		-0.19038949311472533	0.01481661084903135	-0.2879148216003762
21	PyBDEI	0.0412926112296644	0.4468865506899244	0.1084870417993852		4.119262017636254	9.217690734430796	24.2174076722376	0.4011520085921427	-0.20898483295166898	-0.06937273665506356		-0.15001934909450282	0.07454406225508368	-0.2863015619520221
21	PhyloDeep	0.0484710626825988	0.4059701739156186	0.1082053029066502		3.751851	9.24169124005604	20.630866018933	0.6447331571883964	-0.2814091978361628	-0.07178955888908352		-0.225832020049461	0.07734189975622634	-0.3919986378158401
22	PhyloDeep	0.3177917346417786	0.2883277781210053	0.244901043452289		1.1773236	4.08328190808553	3.14671494249912	-0.5209999478112685	0.5168748366532547	0.4858313688669197		0.020892995286543398	-0.3269761152218843	1.0876824447734887
22	BEAST2	1.9673727460366384	0.173031372730917	0.1421659941082341		1.21710802795206	7.03403093174784	0.508292087513434	1.965374946231684	-0.08969251260644699	-0.13746919713179526		0.05539127920588407	0.15937888441162187	-0.6627745165005956
22	PyBDEI	0.318716006407492	0.2840696086244024	0.2336466698448887		1.2158085061216068	4.279966843370254	3.1375895151041058	-0.5196068145867296	0.4944728669169547	0.4175503149885964		0.05426442441937367	-0.29455766795265786	1.081628196161285
23	PhyloDeep	0.0346904562019085	0.4839628873233745	0.1350544969447784		3.5834637	7.40441838385347	28.8263721347367	0.09977970402099233	0.03503729698337158	0.16396313873481974		-0.11076454009667858	-0.14086626395492352	-0.0907269916476733
23	PyBDEI	0.0335349662853192	0.4889129473635857	0.1354845831572804		3.608624213693892	7.380913582168437	29.819621450992013	0.06314760120085387	0.045623845865790706	0.167669823881595		-0.1045209660468027	-0.14359352314528706	-0.059396833637708084
23	BEAST2	0.0335415936227588	0.4908837876529329	0.1359300385801498		3.61129734663827	7.35672563949402	29.8137295218279	0.06335770541987445	0.04983882445052012	0.17150896810780691		-0.10385762889532643	-0.14640004709893492	-0.05958268332184497
24	PhyloDeep	0.2061338285046713	0.7386224116591988	0.1805537688524764		4.0908723	5.53851634532792	4.85121732446423	-0.14590681898209784	0.06834722055525078	0.036582583087567934		0.030643614880223113	-0.0352915278381423	0.17083243634869805
24	PyBDEI	0.1918755201519014	0.8007590991415076	0.1763982283462158		4.539496267331337	5.668991176245294	5.211712255989369	-0.20498457456104394	0.15822204200443285	0.01272508656738076		0.14366875805378942	-0.012565193393710036	0.2578372293189965
24	BEAST2	0.196421858256434	0.7889231379783217	0.1788949922783519		4.40997888163798	5.58987139474563	5.09108308452348	-0.18614731528220052	0.14110244745694994	0.02705933183172722		0.11103848832358111	-0.02634641543392437	0.22872359921838467
25	PhyloDeep	0.1135557929288875	0.2099517173993466	0.1832338892729559		1.1458127	5.4575057265217	8.80624382259594	-0.07070404353475275	0.049779212459789356	0.04491388353493402		0.004656200861640453	-0.0429833350313912	0.07608345117920033
25	BEAST2	0.106946621114244	0.238223785569618	0.2050736398051839		1.16164996045287	4.87629712404764	9.35045903817537	-0.12479090678072154	0.19114233073304515	0.16945775822216244		0.01854241622531788	-0.1449028466661133	0.1425841067552247
25	PyBDEI	0.1072017672449039	0.2376824398020733	0.2044934869924918		1.162298336723067	4.890131293211876	9.32820442890168	-0.12270289117698661	0.1884355487140127	0.16614936515710693		0.019110916854037513	-0.14247691601214635	0.13986469343504968
26	PhyloDeep	0.0799020321725811	0.4740208735914413	0.1927826781700968		2.4588354	5.18718802691223	12.5153262415165	-0.011673083803103036	0.009953016046452582	-0.04723863405735502		0.06002725566776424	0.04958076150644276	0.011810954059635686
26	PyBDEI	0.0813460059161635	0.4663284464802824	0.1944081351548619		2.398708501106776	5.143817665878119	12.293166563464895	0.006187765017132755	-0.006436536385638296	-0.03920537800040068		0.03410597943040524	0.04080515971124658	-0.006149712044082069
26	BEAST2	0.0831282875281211	0.4605601567622446	0.1934896518700939		2.38028314336654	5.16823504686124	12.0295994268102	0.028233222954120545	-0.018726504871674144	-0.0437446623245812		0.02616263299896887	0.04574579675646139	-0.02745799525229024
27	PyBDEI	0.0990904981572668	0.2525619004196942	0.1325892645704448		1.904844266524366	7.542088744814619	10.091784970269272	-0.023269237343978552	0.03417430950694199	0.0915632500425147		-0.052575002441075526	-0.083882679303237	0.023823594212086345
27	BEAST2	0.0989018793173213	0.252321541787054	0.1324140806973179		1.9055491716461	7.55206693075093	10.1110313262254	-0.02512844510675375	0.03319010435750494	0.09012101956838882		-0.05222439911618707	-0.08267065578101694	0.025776159926530214
