	type	T	sampled_tips	observed_trees	unobserved_trees	mu	mu_min	mu_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	p	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	incubation_period	incubation_period_min	incubation_period_max
14	real	109.926551		1.0	0.0	0.16455275296236402			0.29335302179221284			0.12340278961128565			0.014676794147326	2.3771992733410996			8.103544523993047			6.077078517359821		
15	PhyloDeep			1	0	0.17637344352482165			1.1137206405157178			0.3490357460622928				3.1908498	2.59516106491	4.0666376787	2.86503606373179	2.18744274626	3.69380919024	5.669787809406049	3.73156649293	8.09581348165
15	real	43.22401050000001		1.0	0.0	0.13900879634992494			1.152667875605596			0.29923404176890217			0.025057708098227	3.8520613122480194			3.34186576530052			7.193789359075621		
15	PyBDEI					0.1481607515303549	0.12001816013865645	0.19793733975270716	1.1705709109404656	0.9154728398928866	1.3025485617847041	0.3384616196192093	0.2869721561111165	0.4662786342360424		3.458504134848234			2.9545447460928167			6.749425807246407		
15	BEAST2			1	0	0.14788966405688195			1.158467975939127			0.330969387873618				3.5002269647412003	2.8061033211056077	4.5542482392009624	3.0214274692433305	2.3265238378216946	3.9237699230968577	6.76179776576797	4.942643602444257	9.427932863838848
16	PhyloDeep			1	0	0.16439804244343914			1.9121801252378106			0.5952694128699227				3.2122936	2.4430982369	4.14131894927	1.67991161376625	1.2305157744	2.25568878777	6.08279749039012	4.28928622575	7.74051525167
16	BEAST2			1	0	0.19012988152107313			1.5793963804238358			0.501720334670946				3.1479616656552003	2.454408162829146	4.280312665570743	1.9931422565438799	1.4519130290107825	2.7247240935768477	5.25956252641521	3.788917440205376	7.651822908941583
16	PyBDEI					0.18662427312460247	0.1296179921840811	0.2933412052326146	1.6017882427312633	1.172062396498267	1.9686462569426952	0.5088473213857285	0.3372228377766952	0.7648065838062931		3.1478759451246825			1.9652260274785969			5.358359784915733		
16	real	32.883542		1.0	0.0	0.13542830635455294			2.229957450884843			0.558194370222384			0.129623054853193	3.9949479425892997			1.7914906587137398			7.383980697373472		
17	BEAST2			1	0	0.05101086577441408			0.1683648715628363			0.10847224734847502				1.5521469839373	1.3512255833226714	1.7780387205467738	9.21894792856487	8.046594838085857	9.950341498203024	19.603666489847697	17.006403696654186	22.81030415569584
17	PyBDEI					0.051080478854205816	0.041242428274666884	0.062265177684286965	0.16958451903627686	0.1396135569484337	0.19725784669844265	0.10794123746300306	0.08884611712876377	0.129993514825009		1.5710818499222974			9.264299942297317			19.57695038165569		
17	PhyloDeep			1	0	0.05140739744769441			0.1688657580969618			0.10513032179014148				1.6062517	1.38216643218	1.90695177984	9.512003606306608	8.06512004049	10.0	19.452453336457502	15.6300782892	24.1850817533
17	real	249.2050486		1.0	0.0	0.04589083049938593			0.1780435041793793			0.10629174696085814			0.758180898887686	1.67504542234068			9.408068157617631			21.790845559297104		
18	PyBDEI					0.1087563577457964	0.08413062331839798	0.13777888544476236	1.2660272558281982	1.0051455835089422	1.4622490083414252	0.4051077580381767	0.317816887173188	0.5085894167888534		3.1251617148958424			2.468479016157873			9.194864748388945		
18	PhyloDeep			1	0	0.10918931379051823			1.250835674958306			0.40288496930144874				3.1046967999999997	2.5655739359200003	3.95090665668	2.48209805824693	2.09337503344	2.92327386913	9.15840539046265	7.18111661997	11.159648498
18	real	82.33229614		1.0	0.0	0.11441676995950904			1.1752395018773178			0.35080214809420524			0.638127425862025	3.350149103310839			2.8506096825024505			8.739977543098709		
18	BEAST2			1	0	4.798525003146683			0.2324577866044429			0.10384596264897102				2.23848651093174	1.9767995289387659	2.4570917988028333	9.62964735933245	8.701825048565349	9.984664188793387	0.20839737197247896	0.20026848830419	0.2472126834215621
19	BEAST2			1	0	0.0664572803533241			0.6980839640112992			0.18621250796281283				3.74885646323344	2.8141008799198794	4.816442260643654	5.37020853722513	4.264108515926769	6.816776340687929	15.0472603555764	11.082442382500956	21.43616086292965
19	PyBDEI					0.06418758722317806	0.04226528009811677	0.09411775600870063	0.7111876825894999	0.5082772102460105	1.086147189061467	0.1880280422148327	0.133026340475378	0.2590901658729373		3.7823490273696927			5.318355646427691			15.579336181044381		
19	PhyloDeep			1	0	0.058975003527294394			0.7494914787803666			0.21625223057705886				3.4658208	2.63485333536	4.41834719746	4.6242297586089505	3.65074687937	5.79700782906	16.9563364169565	12.633971219200001	20.3619122387
19	real	70.002354		1.0	0.0	0.06327962770624318			0.7341348163315163			0.16749359872269595			0.5576676637930279	4.38306193150078			5.970377421143179			15.802874262190702		
20	real	178.80397289999996		1.0	0.0	0.04962716998629897			0.4778842627671261			0.2134527356580541			0.5988352752009151	2.23882941248729			4.684877881359061			20.150252377398896		
20	BEAST2			1	0	0.05507284279239436			0.443175033415256			0.20044040853303105				2.21100643657002	1.828559303083692	2.7209434067463607	4.98901397836259	4.148191107406192	6.06561436580088	18.157769769932802	14.81340520678411	22.77331210426609
20	PyBDEI					0.05504635092715484	0.040805401358509505	0.07244527215577069	0.44723339387268585	0.3622378168441836	0.549008845300208	0.20370330626775154	0.15707777287253916	0.26042373553018927		2.195513671657512			4.909100486987584			18.166508463446423		
20	PhyloDeep			1	0	0.055204940895831035			0.4189679243979879			0.1835135149426864				2.2830357999999995	1.8610267482900005	2.96400692082	5.44918994283507	4.46516503277	6.75828641054	18.1143206345778	13.2891523919	24.3953458167
21	real	102.7905485		1.0	0.0	0.029470472137533992			0.5649532010334002			0.11657410659714855			0.23075669136252305	4.84630092843636			8.57823430254331			33.9322694028504		
21	BEAST2			1	0	0.04138616141929442			0.4507139936076127			0.11487209151968696				3.92361615118994	3.010285103626692	4.884011511278205	8.705334661975911	6.952465159422816	9.902822081070124	24.1626661112329	17.309251479740954	33.545233113213094
21	PyBDEI					0.039769968577968925	0.030362247619685184	0.0583148470347876	0.4631155090385701	0.3730938176358208	0.534609865446385	0.11139002286872976	0.07727057119935381	0.15645732364343404		4.157603141749416			8.977464715834326			25.14460120931457		
21	PhyloDeep			1	0	0.04847106268259884			0.40597017391561874			0.10820530290665027				3.7518510000000003	2.8872545263700005	4.55048523518	9.241691240056038	7.28911626974	10.0	20.630866018933002	14.374027706300001	26.709056963600002
22	PhyloDeep			1	0	0.31779173464177857			0.28832777812100535			0.24490104345228902				1.1773236	1.01266428002	1.34997751905	4.08328190808553	3.27197169978	5.19145581018	3.1467149424991203	1.78099849658	5.18437804484
22	real	110.832469		1.0	0.0	0.6634482255057563			0.19008013789532904			0.16482425165047376			0.360060548741338	1.1532291880105903			6.067068346960249			1.5072766216801399		
22	BEAST2			1	0	1.9673727460366384			0.17303137273091704			0.14216599410823413				1.21710802795206	1.0817732820291532	1.37355176365076	7.034030931747839	3.7723127900452633	8.335801583300096	0.508292087513434	0.2086933092993686	3.648506113424366
22	PyBDEI					0.3105880423685498	0.2306496874154509	0.6164014507347808	0.2897416241413145	0.18802980070614528	0.3732622847822047	0.2388296340627747	0.15693793916555576	0.3215056605253014		1.2131728345953834			4.1870850906933805			3.21969896965119		
23	PhyloDeep			1	0	0.034690456201908526			0.4839628873233746			0.13505449694477847				3.5834637000000003	2.87949332206	4.4080189703800015	7.4044183838534705	6.160237882050001	9.17236616168	28.8263721347367	22.6398395657	34.6487025229
23	real	128.35951770000003		1.0	0.0	0.03154309547182404			0.4675801429899098			0.11602987452985593			0.359062840569089	4.029825464213491			8.61847006257589			31.702659014339694		
