	type	loglk	diff with max	diff with real
64	PhyloDeep	-2505.5258344274293	0.5841648929163057	1.619454699789003
64	real	-2507.1452891272183	2.2036195927053086	0.0
65	PyBDEI	-773.7254168185743	0.0	0.7955512369165945
65	BEAST2	-773.7546765888842	0.029259770309863598	0.7662914666067309
65	PhyloDeep	-773.8865769189659	0.1611601003916121	0.6343911365249824
65	real	-774.5209680554909	0.7955512369165945	0.0
66	PyBDEI	-1948.645731035881	0.0	1.2304328349241587
66	BEAST2	-1948.646441443468	0.0007104075868937798	1.229722427337265
66	PhyloDeep	-1949.100091203732	0.45436016785106403	0.7760726670730946
66	real	-1949.8761638708052	1.2304328349241587	0.0
67	PyBDEI	-2175.5167377872176	0.0	1.0188201937708072
67	BEAST2	-2295.732130605884	120.21539281866626	-119.19657262489545
67	PhyloDeep	-2176.85670678279	1.3399689955722351	-0.3211488018014279
67	real	-2176.5355579809884	1.0188201937708072	0.0
68	PyBDEI	-1367.0610328868624	0.0	1.5519095561844551
68	BEAST2	-1367.0698164160458	0.008783529183347127	1.543126027001108
68	PhyloDeep	-1367.4990498778523	0.4380169909898086	1.1138925651946465
68	real	-1368.612942443047	1.5519095561844551	0.0
69	PyBDEI	-2524.085394088985	0.0	0.920820472016203
69	BEAST2	-2628.1095409870645	104.02414689807938	-103.10332642606318
69	PhyloDeep	-2524.5323429742184	0.4469488852332688	0.4738715867829342
69	real	-2525.0062145610013	0.920820472016203	0.0
70	PyBDEI	-1402.7211067541182	0.0	1.0422648548828874
70	BEAST2	-1402.7259952003756	0.004888446257382384	1.037376408625505
70	PhyloDeep	-1402.875731335576	0.15462458145771052	0.8876402734251769
70	real	-1403.763371609001	1.0422648548828874	0.0
71	PyBDEI	-2415.456946538199	0.0	1.345190005488348
71	BEAST2	-2415.519008636506	0.06206209830679654	1.2831279071815516
71	PhyloDeep	-2416.677939656367	1.2209931181678257	0.12419688732052236
71	real	-2416.8021365436875	1.345190005488348	0.0
72	PyBDEI	-3831.943811312472	0.0	0.4722659698222742
72	BEAST2	-3831.9440131783067	0.00020186583469694597	0.47206410398757725
72	PhyloDeep	-3833.4872870478994	1.5434757354273643	-1.07120976560509
72	real	-3832.4160772822943	0.4722659698222742	0.0
73	PyBDEI	-2807.5023165587836	0.0	2.0098371377675903
73	BEAST2	-2807.5038575246467	0.001540965863114252	2.008296171904476
73	PhyloDeep	-2807.533249351067	0.030932792283238086	1.9789043454843522
73	real	-2809.512153696551	2.0098371377675903	0.0
75	PyBDEI	-2295.003014228057	0.0	0.8107511671641987
75	BEAST2	-2295.0034063689077	0.0003921408506357693	0.8103590263135629
75	PhyloDeep	-2295.21386889659	0.21085466853310209	0.5998964986310966
75	real	-2295.8137653952213	0.8107511671641987	0.0
76	PyBDEI	-1644.2169910608884	0.0	0.547450397703642
76	BEAST2	-1735.6436497808322	91.42665871994382	-90.87920832224017
76	PhyloDeep	-1645.5176760928725	1.3006850319841305	-0.7532346342804885
76	real	-1644.764441458592	0.547450397703642	0.0
77	PyBDEI	-517.7675530921424	0.0	3.571550702681634
77	BEAST2	-517.9735254615629	0.20597236942046493	3.365578333261169
77	PhyloDeep	-518.3410136898799	0.573460597737494	2.99809010494414
77	real	-521.339103794824	3.571550702681634	0.0
78	PyBDEI	-2386.751308282283	0.0	1.994066849486444
78	BEAST2	-2387.361284634518	0.6099763522352077	1.3840904972512362
78	PhyloDeep	-2387.010410636889	0.2591023546060569	1.734964494880387
78	real	-2388.7453751317694	1.994066849486444	0.0
79	PyBDEI	-2682.85055221637	0.0	2.832885593400988
79	BEAST2	-2682.8610448118734	0.01049259550336501	2.822392997897623
79	PhyloDeep	-2683.609818068753	0.7592658523831233	2.0736197410178647
79	real	-2685.683437809771	2.832885593400988	0.0
80	PyBDEI	-2225.439934159711	0.0	0.3796671678578605
80	BEAST2	-2225.4684160523925	0.028481892681611498	0.351185275176249
80	PhyloDeep	-2225.766776404271	0.3268422445598844	0.052824923297976056
80	real	-2225.8196013275688	0.3796671678578605	0.0
81	PyBDEI	-2970.9608523344587	0.0	2.4139601911065256
81	BEAST2	-2970.9670222544773	0.00616992001869221	2.4077902710878334
