	type	T	sampled_tips	observed_trees	unobserved_trees	mu	mu_min	mu_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	p	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	incubation_period	incubation_period_min	incubation_period_max
29	real	206.4488187358019		13.0	3.0	0.03000401483863901			0.4082159030659852			0.13357117620546866			0.158022100106939	3.0561676153696404			7.486645161091709			33.32887299842971		
29	PyBDEI (forest)					0.029727621791523107	0.027837862430440022	0.031645002756996055	0.410328269594712	0.3975347537818949	0.42169384368739243	0.13276906172327538	0.12386561752682176	0.1413522175349553		3.0905413073562342			7.531875174988095			33.63874873721491		
29	PhyloDeep			1	0	0.03277388306500645			0.3808867342076707			0.1286211564150378				2.961307026183285			7.77477071325013			30.512100077263252		
29	PyBDEI					0.03020936394706155	0.027656057241949528	0.03214539582634972	0.42185011705467107	0.4115225018095715	0.454238680934826	0.14112371085145015	0.13432973798552642	0.1492846056401292		2.9892221123544536			7.085981469496797			33.1023189284086		
30	real	75.64411078269825		3.0	0.0	0.1923527847873552			1.2371243973738468			0.7191845017329399			0.600737301602517	1.72017666453168			1.3904637788918002			5.198780985185599		
30	PhyloDeep			1	0	0.1925877154876257			1.2373350815349773			0.7084293230787774				1.7465893085249742			1.4115734166029148			5.192439182675972		
30	PyBDEI					0.1898678185170479	0.18139283273235676	0.1990093487412399	1.2618644225491096	1.2166576481105074	1.3019299424144668	0.7221031988861588	0.694323871569681	0.7553473872774322		1.7474848809637324			1.3848436089779077			5.266821980736096		
30	PyBDEI (forest)					0.1997514836846407	0.19042501073468837	0.20943688077266348	1.2382622824370235	1.193519298667687	1.2776497544056478	0.713102507410436	0.6800767031448329	0.7465619686316707		1.736443596214036			1.402322933390607			5.006220637533577		
31	PyBDEI					0.13554285559103413	0.12643043209994337	0.14394823762706646	1.3958415356061522	1.3485125105649023	1.4438714886023418	0.28273619884517737	0.26601322385480963	0.2998742328797397		4.936904228419993			3.5368658278793186			7.377740388008674		
31	PyBDEI (forest)					0.14639358244773998	0.13374951189319698	0.15874793013892913	1.2793063388299342	1.2099467501984842	1.3757773765432084	0.2729786517737572	0.2538293289677996	0.2920137102334315		4.686470280797688			3.6632901272763014			6.830900530472247		
31	real	33.89324341236928		7.0	0.0	0.141030036025229			1.3415561957918247			0.2775524837643472			0.8219365221323579	4.83352257416964			3.6029221804732203			7.090688112857809		
31	PhyloDeep			1	0	0.14737218773251493			1.3160992764826878			0.29749790615508015				4.423894250188872			3.3613681955755297			6.785540849912813		
32	PhyloDeep			1	0	0.2362660153564247			1.0621593528494824			0.6040628529857682				1.758358997907966			1.6554568701869177			4.2325173110124465		
32	PyBDEI					0.24073362174296944	0.22711605931241854	0.2547082758933999	0.9989640193120364	0.935349539223867	1.032257055190762	0.57653649638528	0.5476995165913258	0.6011126479990846		1.7326986679512166			1.7344955718670296			4.153968991783362		
32	PyBDEI (forest)					0.228621500251358	0.2160578850079389	0.24206471346360714	1.0219298751833799	0.9693433112981735	1.0769841061770393	0.5706959960679839	0.5441913808620711	0.6070389201344336		1.7906729365973038			1.7522463919317133			4.374041806656634		
32	real	78.20949607861661		5.0	4.0	0.23588156514006314			1.0073646368569718			0.5789556643538523			0.08444202266268201	1.7399685310640298			1.7272479769518403			4.2394156550818805		
33	PhyloDeep			1	0	0.1668131624601796			1.459106947951821			0.454968746818977				3.2070487437950783			2.197953171490876			5.994730782942338		
33	PyBDEI					0.1743033176380716	0.16449963002922874	0.18597975078285092	1.367798649791791	1.2834560362345564	1.4060431395790909	0.4429561919945973	0.41744337595507464	0.46940017403395196		3.087886961536084			2.257559591834754			5.737125452060693		
33	real	41.39827792461547		16.0	8.0	0.167549028340629			1.3747831417572252			0.4346021942934824			0.223869740549289	3.16331385301025			2.3009547883799			5.96840226352724		
