	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
7	PhyloDeep	0.05446440594598388	0.6008693252689055	0.20862236902973505		2.880176886416544	4.793349843791054	18.36061520604428	0.069213212258965	-0.0475556462063975	-0.02968226544249402		-0.01842013201176241	0.030590253465819804	-0.0647328441749571
8	PyBDEI (forest)	0.05367389438666205	0.4191929399081557	0.20826353029469166		2.0128005095995443	4.80160880104647	18.631031182423374	-0.015270749851897228	0.0005690687063757498	-0.016953068789804387		0.01782431432302902	0.017245431781098667	0.015507561951267363
8	PhyloDeep	0.057310460905920874	0.4102930643754719	0.2108997107907494		1.9454415695361325	4.741590191141516	17.448821457596893	0.05144759549166935	-0.02067398986061999	-0.004509751694877643		-0.016237465101504395	0.004530181689429457	-0.04893025169515166
8	PyBDEI	0.05681068645731704	0.4107961531036341	0.21467230414090333		1.9135964219865167	4.658262760079358	17.602322069305025	0.0422784728923013	-0.019473170447191417	0.013297669077857305		-0.0323407825016237	-0.01312316161741409	-0.04056350964918199
9	PhyloDeep	0.04084902213028722	0.189045209957859	0.16422748763000006		1.1511179564761571	6.089114644760152	24.48039017459263	0.01678383745892675	-0.03166856087654635	-0.007031641143433945		-0.02481138448508311	0.0070814352549271545	-0.01650679017564994
9	PyBDEI (forest)	0.03931211277589088	0.1863941443573766	0.16419986555532834		1.1351662422316036	6.090138969468538	25.43745246409841	-0.02147178066102258	-0.045247906096126604	-0.007198652443130521		-0.038325143037556846	0.007250848783440007	0.021942934538492446
9	PyBDEI	0.04030422052280105	0.19841314464778054	0.1687632213540475		1.1756894840939935	5.9254616733233885	24.811297353692183	0.003223036239578565	0.01631607561293869	0.020392757397721357		-0.00399520846774655	-0.019985203981385268	-0.0032126816501939037
10	PhyloDeep	0.08086658017331165	0.2503949743937348	0.10911684307710448		2.2947417404368995	9.164488009366043	12.36604785137222	-0.01173143226591368	0.05375414269473079	0.04121035810544778		0.012047310605041498	-0.0395792817317268	0.011870692490819129
10	PyBDEI (forest)	0.07719323108645701	0.2518054335896585	0.1095922639842197		2.297657010041477	9.124731652080762	12.954503729478462	-0.05662334476020809	0.059689873730887175	0.045746900393410304		0.013333028605900106	-0.043745671515928286	0.06002199062877527
10	PyBDEI	0.08128545728876638	0.23790085125449456	0.10657190327453456		2.2323036742775444	9.383336219715904	12.302323605654365	-0.0066123449240249625	0.0011742774271076945	0.01692613572084108		-0.01548967790327059	-0.01664441017522183	0.006656359066108472
