	type	T	sampled_tips	observed_trees	unobserved_trees	mu	lambda	psi	p	R_naught	infectious_time	incubation_period
14	PyBDEI (lambda)					0.1550311337956762	0.2933530217922129	0.1194167239427797	0.0156669141646693	2.456548899572704	8.374036458069012	6.450317271871035
14	PyBDEI (mu)					0.164552752962364	0.3439088013001846	0.1566959998472868	0.0111265332586001	2.1947516314095576	6.381783842437473	6.077078517359822
14	PyBDEI (psi)					0.1630471160380643	0.2944206770347172	0.1234027896112856	0.0146486715160733	2.3858510651350087	8.103544523993047	6.133196491292393
14	PyBDEI (p)					0.1616111793257501	0.2962634125190884	0.124165898262673	0.014676794147326	2.3860288264684644	8.05374111565238	6.187690753647426
15	real	62.20216919999999		1.0	0.0	0.1390087963499249	1.152667875605596	0.2992340417689021	0.025057708098227	3.85206131224802	3.3418657653005206	7.193789359075622
15	PyBDEI (lambda)					0.1335170283429455	1.152667875605596	0.2859190973672246	0.0272973169680952	4.0314476585142165	3.497492854475665	7.4896813718130915
15	PyBDEI (p)					0.1373086208857365	1.1888341842510066	0.3079915826930476	0.025057708098227	3.859956736011937	3.2468419794336585	7.282863913054412
15	PyBDEI (mu)					0.1390087963499249	1.1678862352813129	0.3035751190952242	0.0254501612403476	3.8471078880314136	3.29407760089299	7.193789359075621
15	PyBDEI (psi)					0.1348203016791758	1.180118873995808	0.2992340417689021	0.0259584818647666	3.9437988639915886	3.34186576530052	7.41728053968936
16	PyBDEI (mu)					0.1354283063545529	2.2419304945101146	0.5591687774343553	0.1259118077578998	4.009398566201795	1.7883688080516922	7.383980697373472
16	PyBDEI (lambda)					0.1431500947021865	2.229957450884843	0.5831579862972219	0.118981269257505	3.823933656544808	1.7148011748060388	6.98567473588074
16	PyBDEI (p)					0.1360458069312436	2.194179796305229	0.5463852953517503	0.129623054853193	4.015810482038442	1.8302103085629768	7.350465424527132
16	PyBDEI (psi)					0.1387418773051189	2.206191956211233	0.558194370222384	0.1249550334359492	3.952372280881816	1.7914906587137398	7.207629155837469
16	real	68.30255949		1.0	0.0	0.1354283063545529	2.229957450884843	0.558194370222384	0.129623054853193	3.9949479425892997	1.7914906587137398	7.383980697373473
17	PyBDEI (lambda)					0.0472471948558242	0.1780435041793792	0.1080162216133575	0.7433599699698827	1.648303389250953	9.257868726231557	21.165277706994456
17	real	319.64661800000005		1.0	0.0	0.0458908304993859	0.1780435041793792	0.1062917469608581	0.758180898887686	1.6750454223406797	9.408068157617635	21.790845559297118
17	PyBDEI (mu)					0.0458908304993859	0.1842881455688332	0.1101408750874809	0.7377388514086235	1.673203934710522	9.079281413060643	21.790845559297104
17	PyBDEI (psi)					0.0467462704685657	0.1794934292051051	0.1062917469608581	0.7488259016055827	1.6886864158061443	9.408068157617633	21.392080907768754
17	PyBDEI (p)					0.0463304429861003	0.1799749978177782	0.1075619596199396	0.758180898887686	1.6732216338722676	9.29696710187699	21.584080262302088
18	PyBDEI (mu)					0.114416769959509	1.1186807308718838	0.3242812924307939	0.6854381244717194	3.449723301909639	3.0837424894419825	8.739977543098709
18	PyBDEI (p)					0.1131380084603887	1.1756518132612572	0.343102209956358	0.638127425862025	3.426535239778252	2.914583383555583	8.838762619284696
18	PyBDEI (lambda)					0.1056017980365434	1.1752395018773178	0.3229480100656198	0.6976792046257217	3.639098137308605	3.096473639199108	9.46953573322635
18	real	60.40604763		1.0	0.0	0.114416769959509	1.1752395018773178	0.3508021480942052	0.638127425862025	3.3501491033108395	2.850609682502451	8.739977543098712
18	PyBDEI (psi)					0.1113394398047593	1.1834083326683575	0.3508021480942052	0.6498871749435385	3.373435251458501	2.8506096825024505	8.98154330355499
19	PyBDEI (psi)					0.0647974714038783	0.7259218094438943	0.1674935987226959	0.5655474310738868	4.334027180619228	5.970377421143179	15.432700973268956
